,Factory,Ulke,Sehir,Tarih,Kurulus_tarihi,Veri_analistci_tecrubesi,Isci_sayisi,Isci__memnuniyeti,Aylik_uretim_miktari,Uretim_hizi,Gunluk_uretilen_miktar,Gunluk_calisma_suresi,Max_uretilen_urun,Fabrika_sayisi,Yonetici_sayisi,Kapasite_durumu,Lojistik,Lojistik_tur_sayisi,Kullanilan_makina,Uretim_cesidi,Fabrika_depo_sayisi,Ham_madde_cesidi,Kesikli_uretim,Surekli_uretim,Esnek_uretim,Ceo_degisimi,Toplam_uretilmis_urun,Populerite,Malzeme_kalitesi,Urunbasi_ortalama_maliyet,Urunbasi_ortalama_kar,Max_fiyat,Min_fiyat,Max_kar,Max_zarar,Aylik_toplanti,Vardiya,Calisanlara_mesai,Mola_suresi,Urun_hata_orani,Satislarin_dusme_orani,Ortaklarla_uyum,Tedarikci_zorluk_yasanmasi,Calisan_tecrubesi,Ustabasilarinin_ise_önemvermesi,Patronlarin_donanimi,Kasada_acik_cikmasi,Malzeme_kaybi,Dogal_afetler,Tehcizat_pahaliligi,Makine_pahaliligi,Reklam_yetersizligi,Musteriye_hitap,Ithalat_ihracat_sorunlari,Globallesme_orani,Maaslarda_kesinti_orani,Sosyal_medyayi_kullanma,Yanlis_marka_ismi,Pazar_payi,Is_sagligi_orani,Musteri_hizmetlerinin_ilgisi,Yanlis_strateji,Sermayenin_tukenmesi,Vergi_usulsuzlugu,Is_yerindetorpil,Ortaklik_sorunlari,Dunya_ekonomisi_cokusleri,Yazilim_gelistirmeleri,Calisma_veduzenli_uretim,Muhasebeci_tecrubesi,Devam_durumu
184,Factory185,Turkiye,Ankara,12.05.2020,1978,3,1082,5,376000,4,12000,8,356000,12,16,300000,YES,1,24,6,20,9,NO,YES,YES,2,24000000,1,5,455,555,408,302,102,50,5,3,5,45DK,2,1,3,3,5,1,5,NO,NO,NO,5,4,YES,4,NO,4,0,YES,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
185,Factory186,Turkiye,Trabzon,12.05.2020,1989,5,3659,3,346000,1,9000,10,476000,14,4,340000,YES,3,16,9,25,5,YES,YES,YES,3,12300000,4,2,432,532,356,264,64,38,3,3,4,45DK,4,3,4,2,4,2,3,YES,NO,NO,2,0,YES,5,NO,3,0,YES,NO,4,5,5,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
186,Factory187,Turkiye,Rize,12.05.2020,1969,4,4203,2,288000,5,6000,9,610000,15,3,420000,YES,3,11,8,13,6,YES,YES,YES,6,12400000,5,3,465,565,498,330,130,21,7,3,3,1SAAT,1,2,5,1,2,5,1,NO,NO,YES,1,2,YES,5,YES,2,0,NO,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
187,Factory188,Turkiye,Gumushane,12.05.2020,2000,1,2658,1,356000,4,15000,7,240000,16,5,520000,YES,3,12,12,14,3,YES,YES,YES,5,20000000,2,2,487,587,390,290,90,50,6,3,6,1SAAT,3,1,2,2,3,1,3,YES,NO,NO,5,3,NO,5,YES,1,0,NO,YES,4,5,5,NO,NO,NO,NO,YES,NO,5,NO,5,Isliyor
188,Factory189,Turkiye,Malatya,12.05.2020,1988,3,2698,5,476000,3,19800,7,298000,17,11,345000,YES,3,14,11,24,4,YES,YES,YES,8,20000000,3,4,467,567,312,200,0,70,5,3,5,1SAAT,2,2,1,3,5,1,4,YES,NO,YES,4,0,NO,5,YES,5,0,NO,YES,5,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
189,Factory190,Turkiye,Hatay,12.05.2020,1999,5,2689,3,610000,5,12600,8,398000,10,12,430000,YES,3,13,21,26,6,YES,YES,YES,7,30000000,4,5,487,587,320,210,10,30,3,3,4,45DK,1,3,5,1,4,4,5,NO,NO,NO,3,4,NO,5,YES,3,2,YES,NO,4,4,4,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
190,Factory191,Turkiye,Kocaeli,12.05.2020,1996,4,3001,1,240000,5,13400,8,488000,9,7,700000,YES,2,15,23,5,9,YES,YES,YES,4,10000000,3,1,498,598,400,300,100,0,8,3,3,45DK,2,1,4,1,2,3,3,NO,NO,NO,2,0,YES,5,YES,4,3,YES,NO,4,4,3,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
191,Factory192,Turkiye,K.maras,12.05.2020,1995,3,3016,5,298000,5,17545,9,237000,11,14,670000,YES,1,18,26,3,3,YES,YES,YES,5,15000000,2,3,512,612,350,250,50,20,7,3,4,1SAAT,3,2,3,4,3,2,2,NO,NO,YES,1,3,YES,5,YES,2,1,YES,NO,4,4,4,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
192,Factory193,Turkiye,Tokat,12.05.2020,1993,5,3259,3,398000,5,12300,10,360000,15,16,300000,YES,3,17,7,6,5,YES,YES,YES,1,18000000,5,2,523,623,368,240,40,10,5,3,5,1SAAT,1,2,2,3,4,1,5,NO,NO,NO,5,0,YES,5,YES,4,0,YES,NO,4,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
193,Factory194,Turkiye,Samsun,12.05.2020,1987,3,1658,4,488000,5,12100,8,420000,14,17,200000,YES,2,14,12,8,6,YES,YES,YES,2,12000000,4,1,567,667,370,270,70,42,4,3,6,1SAAT,2,1,1,2,3,2,1,YES,NO,NO,3,1,NO,5,YES,3,0,YES,NO,4,5,4,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
194,Factory195,Turkiye,Zonguldak,12.05.2020,1995,4,2258,2,237000,5,3500,7,310000,16,9,150000,YES,3,13,17,9,4,YES,YES,YES,5,11000000,5,4,598,698,359,250,50,38,3,2,3,1SAAT,2,0,5,1,5,2,3,YES,NO,NO,4,0,NO,5,YES,2,0,YES,YES,5,5,2,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
195,Factory196,Turkiye,Adana,12.05.2020,1987,2,3456,1,360000,4,5000,8,189000,14,10,150000,YES,3,15,26,17,3,YES,YES,YES,6,24000000,1,5,511,611,355,252,52,12,8,2,2,45DK,1,1,3,2,3,2,4,NO,NO,NO,2,3,NO,5,YES,5,0,YES,YES,5,5,3,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
196,Factory197,Turkiye,Istanbul,12.05.2020,1977,2,2700,0,420000,3,5500,10,348700,14,10,450000,YES,3,14,12,15,7,YES,YES,YES,4,12300000,3,3,523,623,342,263,63,33,5,2,3,45DK,0,2,4,2,1,2,5,NO,NO,YES,4,0,YES,3,YES,4,0,YES,NO,5,5,4,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
197,Factory198,Turkiye,Giresun,12.05.2020,1983,3,2010,2,310000,3,4500,8,465000,14,9,420000,YES,3,16,34,16,9,YES,YES,YES,2,12400000,2,1,543,643,388,233,33,28,6,2,4,45DK,1,1,2,2,3,1,2,NO,NO,NO,3,0,YES,4,YES,3,2,YES,YES,5,5,3,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
198,Factory199,Turkiye,Sakarya,12.05.2020,1984,5,4002,4,189000,3,12320,8,276000,16,12,400000,YES,3,17,28,14,5,YES,YES,YES,5,20000000,4,4,543,643,410,320,120,15,3,2,3,1SAAT,2,2,4,2,4,2,1,NO,NO,YES,2,0,YES,5,YES,4,3,YES,NO,5,3,4,NO,NO,NO,NO,YES,YES,3,YES,3,Isliyor
199,Factory200,Turkiye,Ankara,12.05.2020,1989,3,3578,5,348700,2,13450,8,165000,15,13,340000,YES,3,18,16,2,4,YES,YES,YES,1,20000000,5,0,567,667,415,325,125,22,2,2,2,1SAAT,1,1,3,1,5,1,5,NO,NO,NO,5,0,YES,5,YES,5,4,YES,NO,3,2,5,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
200,Factory201,Turkiye,Trabzon,12.05.2020,1990,4,1010,4,465000,3,2300,8,340000,12,14,390000,YES,3,19,17,3,6,YES,YES,YES,1,30000000,5,3,587,687,420,330,130,42,9,1,2,1SAAT,2,2,2,2,3,2,4,YES,NO,NO,4,4,YES,5,NO,3,5,NO,NO,2,3,4,NO,NO,NO,NO,NO,NO,3,NO,3,Isliyor
201,Factory202,Turkiye,Rize,12.05.2020,1965,2,2657,3,276000,3,19000,8,330000,13,8,510000,YES,3,15,28,5,8,YES,YES,YES,1,10000000,4,2,569,669,408,302,102,50,8,1,4,45DK,1,1,5,1,1,3,3,YES,NO,YES,3,3,NO,5,YES,2,0,YES,NO,3,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
202,Factory203,Turkiye,Gumushane,12.05.2020,1967,3,2978,2,165000,3,23000,8,230000,14,11,800000,YES,3,14,29,9,4,YES,YES,YES,0,15000000,5,5,568,668,356,264,64,38,5,1,5,45DK,2,2,4,2,3,2,2,NO,NO,NO,5,2,YES,2,YES,5,0,YES,YES,4,5,5,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
203,Factory204,Turkiye,Malatya,12.05.2020,1987,4,3224,5,340000,5,25000,8,540000,15,6,300000,YES,3,13,45,8,6,YES,YES,YES,3,18000000,5,0,455,555,498,330,130,21,3,2,3,1SAAT,1,2,3,3,4,1,1,YES,NO,YES,3,3,YES,3,YES,1,0,YES,NO,5,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
204,Factory205,Turkiye,Hatay,12.05.2020,1977,2,3548,2,330000,4,12540,8,570000,16,11,340000,YES,3,12,33,6,3,YES,YES,YES,6,12000000,5,5,467,567,390,290,90,50,2,3,2,1SAAT,2,2,5,2,5,2,5,NO,NO,YES,5,1,YES,4,NO,3,0,NO,YES,4,3,3,NO,NO,NO,NO,YES,NO,3,NO,3,Isliyor
205,Factory206,Turkiye,Kocaeli,12.05.2020,1976,4,2002,2,230000,1,12000,8,240000,12,10,420000,YES,3,10,26,2,8,YES,YES,YES,5,11000000,5,3,487,587,312,200,0,70,7,2,4,1SAAT,2,2,4,1,3,4,3,NO,NO,NO,4,0,YES,1,NO,4,1,NO,NO,3,4,4,NO,NO,NO,NO,YES,NO,4,NO,4,Isliyor
206,Factory207,Turkiye,K.maras,12.05.2020,1987,5,3312,4,540000,5,14000,8,160000,18,12,520000,YES,3,13,32,1,5,YES,YES,YES,4,24000000,2,0,478,578,320,210,10,30,5,1,5,1SAAT,2,1,3,2,2,1,4,NO,NO,NO,2,4,YES,2,NO,5,3,NO,NO,4,5,5,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
207,Factory208,Turkiye,Tokat,12.05.2020,1967,4,1089,1,570000,3,11000,8,115000,10,14,345000,YES,3,16,15,16,3,YES,YES,YES,0,12300000,4,2,467,567,400,300,100,0,4,2,2,45DK,2,2,4,4,5,3,2,NO,NO,NO,3,2,YES,3,YES,2,4,YES,YES,5,2,4,NO,NO,NO,NO,NO,NO,2,YES,2,Isliyor
208,Factory209,Turkiye,Samsun,12.05.2020,1999,3,3001,0,240000,4,17000,8,125000,11,15,430000,YES,3,17,17,5,4,YES,YES,NO,2,12400000,2,0,478,578,350,250,50,20,3,3,3,45DK,1,3,5,1,1,2,4,YES,NO,NO,4,1,YES,4,YES,1,2,YES,NO,2,3,5,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
209,Factory210,Turkiye,Zonguldak,12.05.2020,2001,2,2678,2,160000,3,12000,8,390000,12,9,700000,YES,3,22,18,4,8,YES,YES,NO,8,20000000,4,3,498,598,368,240,40,10,8,2,4,45DK,2,3,3,3,3,1,3,NO,NO,NO,3,0,YES,4,YES,5,0,YES,YES,3,4,4,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
210,Factory211,Turkiye,Adana,12.05.2020,2002,5,2780,3,115000,5,9000,8,376000,13,7,670000,YES,3,26,14,3,5,YES,YES,YES,6,20000000,3,1,487,587,370,270,70,42,9,1,2,1SAAT,3,2,2,2,4,5,2,YES,NO,NO,5,4,YES,4,NO,4,0,NO,YES,4,4,5,NO,NO,NO,NO,YES,NO,4,NO,4,Isliyor
211,Factory212,Turkiye,Istanbul,12.05.2020,1963,2,2657,5,125000,4,6000,8,540000,14,10,300000,YES,3,23,16,6,4,YES,YES,YES,3,30000000,4,0,455,555,359,250,50,38,4,2,1,1SAAT,3,1,3,1,5,3,5,NO,NO,YES,3,3,YES,4,NO,3,0,NO,NO,4,3,4,NO,NO,NO,NO,NO,YES,3,NO,3,Isliyor
212,Factory213,Turkiye,Giresun,12.05.2020,1956,2,2569,4,390000,2,15000,8,570000,15,12,200000,YES,3,24,27,10,3,YES,YES,YES,5,10000000,3,4,432,532,355,252,52,12,1,3,1,1SAAT,2,2,4,2,2,1,4,NO,NO,NO,1,2,YES,4,NO,2,2,NO,NO,3,4,5,NO,NO,NO,NO,YES,YES,4,NO,4,Isliyor
213,Factory214,Turkiye,Sakarya,12.05.2020,1967,4,2412,1,376000,3,19800,8,240000,15,14,150000,YES,3,25,18,11,6,NO,YES,YES,4,15000000,4,0,465,565,342,263,63,33,4,2,2,45DK,1,3,3,3,1,2,3,YES,NO,YES,3,1,NO,5,YES,1,1,YES,NO,4,5,4,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
214,Factory215,Turkiye,Ankara,12.05.2020,1988,2,3245,3,346000,4,12600,8,160000,15,9,150000,YES,2,29,27,5,7,NO,YES,YES,2,18000000,4,5,487,587,388,233,33,28,6,1,3,45DK,2,1,2,1,5,2,5,NO,NO,YES,4,0,YES,3,YES,5,0,YES,NO,5,4,5,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
215,Factory216,Turkiye,Trabzon,12.05.2020,1977,3,2156,5,288000,1,13400,9,115000,14,6,450000,YES,2,21,32,6,9,YES,YES,YES,4,12000000,4,2,467,567,410,320,120,15,7,2,4,1SAAT,3,1,3,2,4,5,3,YES,NO,NO,5,5,YES,4,YES,3,0,YES,NO,4,3,2,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
216,Factory217,Turkiye,Rize,12.05.2020,1999,2,2089,4,356000,5,17545,10,125000,12,11,420000,YES,3,14,31,1,5,YES,YES,YES,2,11000000,3,1,487,587,415,325,125,22,4,3,2,1SAAT,1,4,4,2,3,5,5,YES,NO,NO,3,3,YES,5,YES,4,0,YES,NO,3,3,2,NO,NO,NO,NO,YES,NO,3,YES,3,Isliyor
217,Factory218,Turkiye,Gumushane,12.05.2020,2000,3,2004,3,476000,4,12300,10,390000,12,10,400000,YES,3,46,23,12,4,YES,YES,YES,5,24000000,3,0,498,598,420,330,130,42,3,2,3,1SAAT,1,3,3,1,2,5,4,NO,NO,NO,1,2,NO,4,YES,2,0,YES,YES,3,4,2,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
218,Factory219,Turkiye,Malatya,12.05.2020,2001,5,2009,5,610000,3,12100,8,376000,13,12,340000,YES,3,15,36,14,6,YES,YES,YES,3,12300000,5,3,512,612,408,302,102,50,6,3,4,1SAAT,4,2,2,0,1,2,2,NO,NO,NO,3,1,NO,5,YES,4,3,YES,NO,4,5,2,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
219,Factory220,Turkiye,Hatay,12.05.2020,2002,4,3125,3,240000,5,3500,8,346000,10,9,390000,YES,3,38,43,5,7,YES,YES,YES,7,12400000,5,4,523,623,356,264,64,38,7,2,2,45DK,3,1,3,1,5,1,3,NO,NO,YES,4,0,NO,4,YES,3,4,YES,YES,5,4,3,NO,NO,NO,NO,NO,NO,4,YES,4,Isliyor
220,Factory221,Turkiye,Kocaeli,12.05.2020,1987,3,3689,4,298000,5,5000,9,288000,10,15,510000,YES,3,21,24,6,5,YES,YES,NO,3,20000000,4,0,567,667,498,330,130,21,8,3,2,45DK,2,2,4,2,3,5,4,NO,NO,YES,5,5,YES,5,YES,2,2,YES,YES,4,3,4,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
221,Factory222,Turkiye,K.maras,12.05.2020,1988,3,3994,2,398000,5,5500,8,356000,11,11,800000,YES,3,24,31,7,4,YES,YES,NO,3,20000000,1,5,598,698,390,290,90,50,3,2,2,45DK,1,2,4,1,4,5,3,NO,NO,NO,3,4,YES,3,YES,5,3,YES,NO,3,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
222,Factory223,Turkiye,Tokat,12.05.2020,1999,5,4015,1,488000,5,4500,8,476000,11,9,300000,YES,3,16,23,9,6,YES,YES,YES,3,30000000,4,3,511,611,312,200,0,70,4,3,2,1SAAT,2,2,5,2,2,5,5,NO,NO,NO,2,3,YES,4,YES,4,4,YES,NO,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
223,Factory224,Turkiye,Samsun,12.05.2020,1976,4,1082,0,237000,5,12320,8,610000,11,21,340000,YES,3,11,26,8,7,YES,YES,NO,2,10000000,2,1,523,623,320,210,10,30,6,2,2,1SAAT,2,2,3,1,4,1,3,YES,NO,NO,5,1,NO,5,YES,3,1,YES,NO,5,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
224,Factory225,Turkiye,Zonguldak,12.05.2020,2003,3,3659,2,360000,5,13450,8,240000,11,16,420000,YES,1,12,37,5,3,YES,YES,NO,1,15000000,3,2,543,643,400,300,100,0,8,2,2,1SAAT,2,1,2,2,3,2,1,NO,NO,NO,1,0,NO,4,NO,5,1,NO,NO,4,5,4,NO,NO,NO,NO,NO,YES,5,NO,5,Isliyor
225,Factory226,Turkiye,Adana,12.05.2020,1967,5,4203,4,420000,4,12000,8,298000,15,4,520000,YES,3,14,5,68,4,YES,YES,YES,4,18000000,5,4,543,643,350,250,50,20,9,2,3,45DK,2,2,3,1,2,2,3,YES,NO,NO,3,0,NO,5,YES,4,1,YES,YES,5,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
226,Factory227,Turkiye,Istanbul,12.05.2020,2005,3,2658,5,310000,3,14000,8,398000,14,3,345000,YES,3,13,9,6,6,YES,YES,YES,5,12000000,4,5,567,667,368,240,40,10,4,2,2,45DK,1,1,5,2,5,2,4,YES,NO,YES,4,0,YES,5,YES,3,1,YES,YES,4,5,4,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
227,Factory228,Turkiye,Giresun,12.05.2020,2010,4,2698,4,189000,3,11000,8,488000,15,5,430000,YES,3,15,11,15,8,YES,YES,YES,2,11000000,2,0,587,687,370,270,70,42,2,3,4,1SAAT,2,2,4,2,4,5,5,NO,NO,YES,5,0,YES,5,YES,4,1,YES,NO,5,3,5,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
228,Factory229,Turkiye,Sakarya,12.05.2020,1956,2,2689,3,348700,3,17000,8,237000,19,11,700000,YES,3,18,21,14,9,YES,YES,YES,3,24000000,5,3,569,669,359,250,50,38,6,3,5,1SAAT,1,3,2,2,3,1,3,NO,NO,NO,2,4,YES,5,NO,5,2,NO,NO,3,3,4,NO,NO,NO,NO,NO,YES,3,NO,3,Isliyor
229,Factory230,Turkiye,Ankara,12.05.2020,1976,1,3001,2,465000,2,12000,8,360000,20,12,670000,YES,3,17,23,11,5,YES,YES,YES,6,12300000,4,5,568,668,355,252,52,12,7,3,5,1SAAT,2,2,3,2,5,2,1,NO,NO,YES,1,3,YES,3,NO,3,0,NO,NO,3,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
230,Factory231,Turkiye,Trabzon,12.05.2020,1986,3,3016,5,276000,3,9000,8,420000,14,7,300000,YES,3,14,26,10,6,YES,YES,YES,4,12400000,3,4,455,555,342,263,63,33,8,3,4,1SAAT,3,1,5,1,4,5,3,NO,NO,NO,5,2,YES,2,NO,2,0,NO,NO,4,5,2,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
231,Factory232,Turkiye,Rize,12.05.2020,1989,4,3259,2,165000,3,6000,9,310000,10,14,200000,YES,2,13,28,12,3,YES,YES,YES,5,20000000,5,3,467,567,388,233,33,28,4,3,5,45DK,2,2,4,2,3,3,4,YES,NO,NO,4,5,YES,1,YES,3,0,YES,NO,5,5,3,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
232,Factory233,Turkiye,Gumushane,12.05.2020,1967,3,1658,2,340000,3,15000,8,189000,11,16,150000,YES,2,15,32,1,4,NO,YES,YES,1,20000000,4,4,487,587,410,320,120,15,3,1,4,45DK,1,4,2,3,4,4,5,YES,NO,NO,3,3,YES,4,YES,4,0,YES,YES,5,2,4,NO,NO,NO,NO,YES,NO,2,YES,2,Isliyor
233,Factory234,Turkiye,Malatya,12.05.2020,1987,4,2258,4,330000,5,19800,8,348700,13,17,150000,YES,1,14,12,8,6,NO,YES,YES,2,30000000,2,5,478,578,415,325,125,22,2,2,6,45DK,2,1,3,3,5,5,3,NO,NO,NO,2,2,YES,5,YES,3,2,YES,YES,2,3,4,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
234,Factory235,Turkiye,Hatay,12.05.2020,1967,2,3456,1,230000,4,12600,10,465000,14,9,450000,YES,3,16,23,9,9,YES,YES,YES,3,10000000,3,2,467,567,420,330,130,42,4,3,5,1SAAT,4,3,4,4,3,5,2,NO,NO,YES,1,4,YES,1,NO,2,3,NO,NO,3,4,5,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
235,Factory236,Turkiye,Kocaeli,12.05.2020,1987,3,2700,0,540000,1,13400,9,276000,8,10,420000,YES,3,17,25,6,3,YES,YES,YES,6,15000000,4,4,478,578,408,302,102,50,5,2,4,45DK,1,2,3,2,2,3,5,NO,NO,NO,5,3,YES,5,NO,3,2,NO,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,NO,5,Isliyor
236,Factory237,Turkiye,K.maras,12.05.2020,2006,4,2010,2,570000,5,17545,7,165000,12,10,400000,YES,3,18,27,20,5,YES,YES,YES,5,18000000,5,5,498,598,356,264,64,38,7,1,3,45DK,3,1,5,3,3,2,1,NO,NO,YES,3,2,YES,2,NO,4,1,NO,NO,5,4,3,NO,NO,NO,NO,YES,NO,4,NO,4,Isliyor
237,Factory238,Turkiye,Tokat,12.05.2020,2009,2,4002,3,240000,3,12300,7,340000,11,9,340000,YES,3,19,32,25,6,YES,YES,YES,8,12000000,2,2,487,587,498,330,130,21,8,2,6,45DK,2,2,3,3,4,1,3,NO,NO,NO,4,4,NO,1,YES,3,3,YES,NO,4,5,4,NO,NO,NO,NO,YES,NO,5,YES,5,Isliyor
238,Factory239,Turkiye,Samsun,12.05.2020,1987,4,3578,5,160000,4,12100,8,330000,15,12,390000,YES,3,15,23,13,4,YES,YES,YES,7,11000000,3,1,455,555,390,290,90,50,5,3,5,45DK,1,3,1,2,3,1,4,YES,NO,NO,2,5,YES,5,YES,2,1,YES,NO,5,4,5,NO,NO,NO,NO,YES,YES,4,YES,4,Isliyor
239,Factory240,Turkiye,Zonguldak,12.05.2020,1986,5,1010,4,115000,3,3500,8,230000,10,13,510000,YES,2,14,34,14,3,YES,YES,YES,4,24000000,5,3,432,532,312,200,0,70,6,2,4,1SAAT,2,1,3,1,2,5,5,YES,NO,YES,4,4,YES,3,YES,3,4,YES,NO,4,5,4,NO,NO,NO,NO,YES,YES,5,YES,5,Isliyor
240,Factory241,Turkiye,Adana,12.05.2020,1999,4,2657,1,125000,5,5000,9,540000,10,14,800000,YES,1,13,21,24,7,YES,YES,YES,5,12300000,4,4,465,565,320,210,10,30,4,1,3,1SAAT,3,2,4,1,3,1,2,NO,NO,NO,3,3,YES,2,YES,4,5,YES,YES,5,3,5,NO,NO,NO,NO,NO,NO,3,YES,3,Isliyor
241,Factory242,Turkiye,Istanbul,12.05.2020,2015,3,2978,3,390000,4,5500,10,570000,10,8,300000,YES,3,12,20,26,9,YES,YES,YES,1,12400000,2,5,487,587,400,300,100,0,3,2,4,1SAAT,1,2,5,1,4,5,1,YES,NO,NO,2,2,NO,4,YES,4,0,YES,NO,3,3,4,NO,NO,NO,NO,NO,YES,3,YES,3,Isliyor
242,Factory243,Turkiye,Giresun,12.05.2020,2012,2,3224,5,376000,2,4500,8,240000,10,11,340000,YES,2,10,21,5,5,YES,YES,YES,2,20000000,3,2,467,567,350,250,50,20,5,3,5,1SAAT,2,1,3,1,3,5,5,NO,NO,NO,5,3,NO,5,YES,5,0,YES,YES,3,4,5,NO,NO,NO,NO,NO,YES,4,YES,4,Isliyor
243,Factory244,Turkiye,Sakarya,12.05.2020,2009,5,3548,4,346000,3,12320,7,160000,12,6,420000,YES,3,13,12,3,4,YES,YES,YES,5,20000000,5,4,487,587,368,240,40,10,6,2,6,1SAAT,2,0,1,2,2,1,4,NO,NO,NO,4,4,NO,1,YES,3,0,YES,NO,4,5,2,NO,NO,NO,NO,NO,YES,5,YES,5,Isliyor
244,Factory245,Turkiye,Ankara,12.05.2020,1980,2,2002,3,288000,4,13450,8,115000,14,11,520000,YES,3,16,23,6,6,YES,YES,YES,6,30000000,4,5,498,598,370,270,70,42,3,1,3,1SAAT,1,1,3,2,3,2,3,NO,NO,YES,3,5,YES,0,YES,2,0,YES,NO,5,4,3,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
245,Factory246,Turkiye,Trabzon,12.05.2020,1978,2,3312,5,356000,1,12000,10,125000,15,10,345000,YES,3,17,26,8,8,YES,YES,YES,4,10000000,2,1,512,612,359,250,50,38,2,2,2,1SAAT,0,2,4,1,4,3,2,NO,NO,NO,5,4,YES,5,YES,3,0,YES,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
246,Factory247,Turkiye,Rize,12.05.2020,1989,4,1089,3,476000,5,14000,8,390000,16,12,430000,YES,3,22,4,9,4,YES,YES,YES,2,15000000,3,3,523,623,355,252,52,12,4,3,3,1SAAT,1,1,5,2,4,5,1,YES,NO,YES,4,3,YES,4,YES,5,0,YES,NO,5,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
247,Factory248,Turkiye,Gumushane,12.05.2020,1969,2,3001,4,610000,4,11000,8,376000,17,14,700000,YES,3,26,7,17,6,YES,YES,YES,5,18000000,1,5,567,667,342,263,63,33,5,2,4,1SAAT,2,2,3,3,5,5,5,NO,NO,NO,3,4,NO,5,YES,4,0,YES,YES,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
248,Factory249,Turkiye,Malatya,12.05.2020,2000,3,2678,2,240000,3,17000,8,346000,10,15,670000,YES,3,23,6,15,3,YES,YES,YES,1,12000000,4,4,598,698,388,233,33,28,7,1,3,1SAAT,1,1,2,2,3,2,3,YES,NO,NO,4,5,NO,5,NO,2,0,NO,YES,5,4,3,NO,NO,NO,NO,NO,NO,4,NO,4,Isliyor
249,Factory250,Turkiye,Hatay,12.05.2020,1988,2,2780,1,298000,5,12000,8,288000,9,9,300000,YES,3,24,9,16,8,YES,YES,YES,1,11000000,5,2,511,611,410,320,120,15,8,2,2,1SAAT,2,2,5,1,2,5,4,NO,NO,YES,5,4,NO,5,YES,3,5,YES,NO,4,5,4,NO,NO,NO,NO,NO,NO,5,YES,5,Isliyor
250,Factory251,Turkiye,Kocaeli,12.05.2020,1999,3,2657,0,398000,5,9000,8,356000,11,7,200000,YES,3,25,8,14,5,YES,YES,YES,1,24000000,2,3,523,623,415,325,125,22,9,3,2,1SAAT,1,1,1,2,3,2,2,NO,NO,NO,3,3,YES,5,YES,5,3,YES,NO,5,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
251,Factory252,Turkiye,K.maras,12.05.2020,1996,5,2569,2,488000,5,6000,8,476000,15,10,150000,YES,3,29,12,2,3,NO,YES,YES,0,12300000,3,1,543,643,420,330,130,42,3,2,4,1SAAT,2,2,3,3,5,5,4,YES,NO,YES,2,5,YES,5,YES,4,1,YES,NO,4,4,5,NO,NO,NO,NO,YES,NO,4,YES,4,Isliyor
